CCC;000006;       ;30/04/2021;2047  ;      ;003690933;0401;0000000;
CCC;000006;       ;30/04/2021;      ;317   ;003690933;0401;0000000;
CCC;000006;       ;30/04/2021;2047  ;      ;001177320;0401;0000000;
CCC;000006;       ;30/04/2021;      ;317   ;001177320;0401;0000000;
CCC;000006;       ;30/04/2021;2047  ;      ;000111389;0401;0000000;
CCC;000006;       ;30/04/2021;      ;317   ;000111389;0401;0000000;
CCC;000006;       ;30/04/2021;2047  ;      ;000004790;0401;0000000;
CCC;000006;       ;30/04/2021;      ;317   ;000004790;0401;0000000;
CCC;000006;       ;30/04/2021;2057  ;      ;000042470;0401;0000000;
CCC;000006;       ;30/04/2021;      ;317   ;000042470;0401;0000000;
CCC;000006;       ;30/04/2021;1073  ;      ;000051000;0401;0000000;
CCC;000006;       ;30/04/2021;      ;317   ;000051000;0401;0000000;
CCC;000006;       ;30/04/2021;544   ;      ;000022034;0401;0000000;
CCC;000006;       ;30/04/2021;      ;317   ;000022034;0401;0000000;
CCC;000006;       ;30/04/2021;2057  ;      ;000127410;0401;0000000;
CCC;000006;       ;30/04/2021;      ;317   ;000127410;0401;0000000;
CCC;000006;       ;30/04/2021;317   ;      ;001016607;0401;0000000;
CCC;000006;       ;30/04/2021;      ;46    ;001016607;0401;0000000;
CCC;000006;       ;30/04/2021;317   ;      ;000103980;0401;0000000;
CCC;000006;       ;30/04/2021;      ;2053  ;000103980;0401;0000000;
CCC;000006;       ;30/04/2021;317   ;      ;000123216;0401;0000000;
CCC;000006;       ;30/04/2021;      ;2053  ;000123216;0401;0000000;
CCC;000006;       ;30/04/2021;317   ;      ;000000462;0401;0000000;
CCC;000006;       ;30/04/2021;      ;2062  ;000000462;0401;0000000;
CCC;000006;       ;30/04/2021;317   ;      ;000623262;0401;0000000;
CCC;000006;       ;30/04/2021;      ;336   ;000623262;0401;0000000;
CCC;000006;       ;30/04/2021;317   ;      ;000308788;0401;0000000;
CCC;000006;       ;30/04/2021;      ;348   ;000308788;0401;0000000;
