CCC;000001;       ;31/07/2021;22    ;      ;003755972;0401;0000000;
CCC;000001;       ;31/07/2021;      ;317   ;003755972;0401;0000000;
CCC;000001;       ;31/07/2021;317   ;      ;003755972;0401;0000000;
CCC;000001;       ;31/07/2021;      ;22    ;003755972;0401;0000000;
CCC;000001;       ;31/07/2021;566   ;      ;000022666;0401;0000000;
CCC;000001;       ;31/07/2021;      ;353   ;000022666;0401;0000000;
CCC;000001;       ;31/07/2021;569   ;      ;000006074;0401;0000000;
CCC;000001;       ;31/07/2021;      ;355   ;000006074;0401;0000000;
CCC;000001;       ;31/07/2021;568   ;      ;000001813;0401;0000000;
CCC;000001;       ;31/07/2021;      ;354   ;000001813;0401;0000000;
CCC;000001;       ;31/07/2021;353   ;      ;000022666;0401;0000000;
CCC;000001;       ;31/07/2021;      ;566   ;000022666;0401;0000000;
CCC;000001;       ;31/07/2021;355   ;      ;000006074;0401;0000000;
CCC;000001;       ;31/07/2021;      ;569   ;000006074;0401;0000000;
CCC;000001;       ;31/07/2021;354   ;      ;000001813;0401;0000000;
CCC;000001;       ;31/07/2021;      ;568   ;000001813;0401;0000000;
